From,to,quantity,time,location,Flownumberfrom,Flownumberto,ParentProcessFlowfrom,ParentProcessFlowto,Subprocessnumbersfrom,Subprocessnumbersto
Land_Won_Sand,Concreting_C&D,0,2019,England,42,16,0,0,nan,nan
Land_Won_Sand,Asphalt_Gravel,0,2019,England,42,18,0,0,nan,nan
Land_Won_Sand,Asphalt_Crushed_Rock,0,2019,England,42,19,0,0,nan,nan
Land_Won_Gravel,Concreting_Sand,0,2019,England,43,13,0,0,nan,nan
Land_Won_Gravel,Asphalt_Sand,0,2019,England,43,17,0,0,nan,nan
Land_Won_Gravel,Mortar_Sand,0,2019,England,43,20,0,0,nan,nan
Land_Won_Gravel,Concreting_Gravel,nan,2019,England,43,14,0,0,nan,nan
Land_Won_Gravel,Concreting_Crushed_Rock,0,2019,England,43,15,0,0,nan,nan
Land_Won_Gravel,Concreting_C&D,0,2019,England,43,16,0,0,nan,nan
Land_Won_Gravel,Asphalt_Gravel,nan,2019,England,43,18,0,0,nan,nan
Land_Won_Gravel,Asphalt_Crushed_Rock,0,2019,England,43,19,0,0,nan,nan


Marine_Dredged_Sand_And_Gravel,Manufacturing,42,2019,England,32,8,1,1,44-45,13-14-15-16-17-18-19-20
Marine_Dredged_Sand,Concreting_Sand,nan,2019,England,44,13,0,0,nan,nan
Marine_Dredged_Sand,Asphalt_Sand,nan,2019,England,44,17,0,0,nan,nan
Marine_Dredged_Sand,Mortar_Sand,nan,2019,England,44,20,0,0,nan,nan
Marine_Dredged_Sand,Concreting_Gravel,0,2019,England,44,14,0,0,nan,nan
Marine_Dredged_Sand,Concreting_Crushed_Rock,0,2019,England,44,15,0,0,nan,nan
Marine_Dredged_Sand,Concreting_C&D,0,2019,England,44,16,0,0,nan,nan
Marine_Dredged_Sand,Asphalt_Gravel,0,2019,England,44,18,0,0,nan,nan
Marine_Dredged_Sand,Asphalt_Crushed_Rock,0,2019,England,44,19,0,0,nan,nan
Marine_Dredged_Gravel,Concreting_Sand,0,2019,England,45,13,0,0,nan,nan
Marine_Dredged_Gravel,Asphalt_Sand,0,2019,England,45,17,0,0,nan,nan
Marine_Dredged_Gravel,Mortar_Sand,0,2019,England,45,20,0,0,nan,nan
Marine_Dredged_Gravel,Concreting_Gravel,nan,2019,England,45,14,0,0,nan,nan
Marine_Dredged_Gravel,Concreting_Crushed_Rock,0,2019,England,45,15,0,0,nan,nan
Marine_Dredged_Gravel,Concreting_C&D,0,2019,England,45,16,0,0,nan,nan
Marine_Dredged_Gravel,Asphalt_Gravel,nan,2019,England,45,18,0,0,nan,nan
Marine_Dredged_Gravel,Asphalt_Crushed_Rock,0,2019,England,45,19,0,0,nan,nan


Crushed_Rock_td,Manufacturing,7981,2019,England,46,8,0,1,nan,13-14-15-16-17-18-19-20
Crushed_Rock_td,Concreting_Sand,0,2019,England,46,13,0,0,nan,nan
Crushed_Rock_td,Asphalt_Sand,0,2019,England,46,17,0,0,nan,nan
Crushed_Rock_td,Mortar_Sand,0,2019,England,46,20,0,0,nan,nan
Crushed_Rock_td,Concreting_Gravel,0,2019,England,46,14,0,0,nan,nan
Crushed_Rock_td,Concreting_Crushed_Rock,nan,2019,England,46,15,0,0,nan,nan
Crushed_Rock_td,Concreting_C&D,0,2019,England,46,16,0,0,nan,nan
Crushed_Rock_td,Asphalt_Gravel,0,2019,England,46,18,0,0,nan,nan
Crushed_Rock_td,Asphalt_Crushed_Rock,nan,2019,England,46,19,0,0,nan,nan


Demolition,Concreting_C&D,nan,2019,England,35,16,0,0,nan,nan


Processing/Production,Aggregate_use,29128,2019,England,6,32,1,0,7-8-9-10-11-12,nan
Sand_pr,Aggregate_use,nan,2019,England,7,32,0,0,nan,nan
Gravel_pr,Aggregate_use,nan,2019,England,8,32,0,0,nan,nan
Cruhsed_Rock_pr,Aggregate_use,nan,2019,England,9,32,0,0,nan,nan
Secondary_Aggregates_pr,Aggregate_use,nan,2019,England,10,32,0,0,nan,nan
Recycled_Processing/Production_Waste,Aggregate_use,0,2019,England,11,32,0,0,nan,nan
C&D_Waste_pr,Aggregate_use,7573,2019,England,12,32,0,0,nan,nan


Processing/Production,Non-aggregate_use,11019,2019,England,6,33,1,0,7-8-9-10-11-12,nan
Sand_pr,Non-aggregate_use,nan,2019,England,7,33,0,0,nan,nan
Gravel_pr,Non-aggregate_use,nan,2019,England,8,33,0,0,nan,nan
Cruhsed_Rock_pr,Non-aggregate_use,nan,2019,England,9,33,0,0,nan,nan
Secondary_Aggregates_pr,Non-aggregate_use,nan,2019,England,10,33,0,0,nan,nan
Recycled_Processing/Production_Waste,Non-aggregate_use,0,2019,England,11,33,0,0,nan,nan
C&D_Waste_pr,Non-aggregate_use,2865,2019,England,12,33,0,0,nan,nan


Manufacturing,Infrastructure,nan,2019,England,8,14,1,1,13-14-15-16-17-18-19-20,21-22-23-24-25
Concreting_Sand,Road_Sand,0,2019,England,13,21,0,0,nan,nan
Concreting_Sand,Road_Gravel,0,2019,England,13,22,0,0,nan,nan
Concreting_Sand,Road_Crushed_Rock,0,2019,England,13,23,0,0,nan,nan
Concreting_Sand,Railway_ballast,0,2019,England,13,24,0,0,nan,nan
Concreting_Sand,Other_inf,nan,2019,England,13,25,0,0,nan,nan
Concreting_Gravel,Road_Sand,0,2019,England,14,21,0,0,nan,nan
Concreting_Gravel,Road_Gravel,0,2019,England,14,22,0,0,nan,nan
Concreting_Gravel,Road_Crushed_Rock,0,2019,England,14,23,0,0,nan,nan
Concreting_Gravel,Railway_ballast,0,2019,England,14,24,0,0,nan,nan
Concreting_Gravel,Other_inf,nan,2019,England,14,25,0,0,nan,nan
Concreting_Crushed_Rock,Road_Sand,0,2019,England,15,21,0,0,nan,nan
Concreting_Crushed_Rock,Road_Gravel,0,2019,England,15,22,0,0,nan,nan
Concreting_Crushed_Rock,Road_Crushed_Rock,0,2019,England,15,23,0,0,nan,nan
Concreting_Crushed_Rock,Railway_ballast,0,2019,England,15,24,0,0,nan,nan
Concreting_Crushed_Rock,Other_inf,nan,2019,England,15,25,0,0,nan,nan
Concreting_C&D,Road_Sand,0,2019,England,16,21,0,0,nan,nan
Concreting_C&D,Road_Gravel,0,2019,England,16,22,0,0,nan,nan
Concreting_C&D,Road_Crushed_Rock,0,2019,England,16,23,0,0,nan,nan
Concreting_C&D,Railway_ballast,0,2019,England,16,24,0,0,nan,nan
Concreting_C&D,Other_inf,nan,2019,England,16,25,0,0,nan,nan
Asphalt_Sand,Road_Sand,nan,2019,England,17,21,0,0,nan,nan
Asphalt_Sand,Road_Gravel,0,2019,England,17,22,0,0,nan,nan
Asphalt_Sand,Road_Crushed_Rock,0,2019,England,17,23,0,0,nan,nan
Asphalt_Sand,Railway_ballast,0,2019,England,17,24,0,0,nan,nan
Asphalt_Sand,Other_inf,0,2019,England,17,25,0,0,nan,nan
Asphalt_Gravel,Road_Sand,0,2019,England,18,21,0,0,nan,nan
Asphalt_Gravel,Road_Gravel,nan,2019,England,18,22,0,0,nan,nan
Asphalt_Gravel,Road_Crushed_Rock,0,2019,England,18,23,0,0,nan,nan
Asphalt_Gravel,Railway_ballast,0,2019,England,18,24,0,0,nan,nan
Asphalt_Gravel,Other_inf,0,2019,England,18,25,0,0,nan,nan
Asphalt_Crushed_Rock,Road_Sand,0,2019,England,19,21,0,0,nan,nan
Asphalt_Crushed_Rock,Road_Gravel,0,2019,England,19,22,0,0,nan,nan
Asphalt_Crushed_Rock,Road_Crushed_Rock,nan,2019,England,19,23,0,0,nan,nan
Asphalt_Crushed_Rock,Railway_ballast,0,2019,England,19,24,0,0,nan,nan
Asphalt_Crushed_Rock,Other_inf,0,2019,England,19,25,0,0,nan,nan
Mortar_Sand,Road_Sand,0,2019,England,20,21,0,0,nan,nan
Mortar_Sand,Road_Gravel,0,2019,England,20,22,0,0,nan,nan
Mortar_Sand,Road_Crushed_Rock,0,2019,England,20,23,0,0,nan,nan
Mortar_Sand,Railway_ballast,0,2019,England,20,24,0,0,nan,nan
Mortar_Sand,Other_inf,0,2019,England,20,25,0,0,nan,nan


Crushed_Rock_pr,Railway_ballast,nan,2019,England,9,24,0,0,nan,nan
C&D_Waste_pr,Railway_ballast,nan,2019,England,12,24,0,0,nan,nan



Manufacturing,Buildings,nan,2019,England,8,17,1,1,13-14-15-16-17-18-19-20,26-27-28
Concreting_Sand,Buildings_Sand,nan,2019,England,13,26,0,0,nan,nan
Concreting_Sand,Buildings_Gravel,0,2019,England,13,27,0,0,nan,nan
Concreting_Sand,Buildings_Crushed_Rock,0,2019,England,13,28,0,0,nan,nan
Concreting_Gravel,Buildings_Sand,0,2019,England,14,26,0,0,nan,nan
Concreting_Gravel,Buildings_Gravel,nan,2019,England,14,27,0,0,nan,nan
Concreting_Gravel,Buildings_Crushed_Rock,0,2019,England,14,28,0,0,nan,nan
Concreting_Crushed_Rock,Buildings_Sand,0,2019,England,15,26,0,0,nan,nan
Concreting_Crushed_Rock,Buildings_Gravel,0,2019,England,15,27,0,0,nan,nan
Concreting_Crushed_Rock,Buildings_Crushed_Rock,nan,2019,England,15,28,0,0,nan,nan
Concreting_C&D,Buildings_Sand,0,2019,England,16,26,0,0,nan,nan
Concreting_C&D,Buildings_Gravel,0,2019,England,16,27,0,0,nan,nan
Concreting_C&D,Buildings_Crushed_Rock,nan,2019,England,16,28,0,0,nan,nan
Asphalt_Sand,Buildings_Sand,0,2019,England,17,26,0,0,nan,nan
Asphalt_Sand,Buildings_Gravel,0,2019,England,17,27,0,0,nan,nan
Asphalt_Sand,Buildings_Crushed_Rock,0,2019,England,17,28,0,0,nan,nan
Asphalt_Gravel,Buildings_Sand,0,2019,England,18,26,0,0,nan,nan
Asphalt_Gravel,Buildings_Gravel,0,2019,England,18,27,0,0,nan,nan
Asphalt_Gravel,Buildings_Crushed_Rock,0,2019,England,18,28,0,0,nan,nan
Asphalt_Crushed_Rock,Buildings_Sand,0,2019,England,19,26,0,0,nan,nan
Asphalt_Crushed_Rock,Buildings_Gravel,0,2019,England,19,27,0,0,nan,nan
Asphalt_Crushed_Rock,Buildings_Crushed_Rock,0,2019,England,19,28,0,0,nan,nan
Mortar_Sand,Buildings_Sand,nan,2019,England,20,26,0,0,nan,nan
Mortar_Sand,Buildings_Gravel,0,2019,England,20,27,0,0,nan,nan
Mortar_Sand,Buildings_Crushed_Rock,0,2019,England,20,28,0,0,nan,nan


Overburden_and_interburden_owp,Landscaping/Geotechnical_Uses,nan,2019,England,41,18,0,1,nan,29-30-31
Overburden_and_interburden_owp,Sand_for_fill,nan,2019,England,41,29,0,0,nan,nan
