Indexes,flownumberfrom,flownumberto,parentflownumberfrom,parentflownumberto,navigation,name,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,prior mean,prior sd
flows[49],9,40,0,0,9-40-0-0,Crushed_Rock_pr_Scalpings_and_Fines_owp,659.24,228.14,245.098,1077.247,2.6,1.84,7130,7920,1,2059,4118
flows[50],9,46,0,0,9-46-0-0,0,47.35,42.54,0.002,79.27,0.34,0.24,9329,6675,1,#N/A,#N/A
flows[51],10,13,0,0,10-13-0-0,Secondary_Aggregates_pr_Concreting_Sand,524.44,179.88,195.558,866.989,2.44,1.89,5791,7465,1,573,1146
flows[52],10,17,0,0,10-17-0-0,Secondary_Aggregates_pr_Asphalt_Sand,21.81,7.35,7.473,35.455,0.06,0.04,13051,6775,1,21,42
flows[53],10,20,0,0,10-20-0-0,Secondary_Aggregates_pr_Mortar_Sand,85.36,30.34,29.862,143.958,0.37,0.27,7258,6869,1,169,338
flows[54],10,32,0,0,10-32-0-0,Secondary_Aggregates_pr_Aggregate_use,903.75,308.92,327.062,1504.107,3.54,2.5,7260,4754,1,874,1748
flows[55],10,33,0,0,10-33-0-0,Secondary_Aggregates_pr_Non-aggregate_use,337.62,112.87,126.075,560.196,0.87,0.62,15666,8200,1,331,662
flows[56],10,40,0,0,10-40-0-0,Secondary_Aggregates_pr_Scalpings_and_Fines_owp,42.95,19.71,9.819,81.493,0.22,0.16,6872,7381,1,134,268
flows[57],10,46,0,0,10-46-0-0,0,48.23,43.91,0.001,82.103,0.84,0.6,4518,1305,1,#N/A,#N/A
flows[58],11,46,0,0,11-46-0-0,0,138.27,79.74,0.001,125.466,0.73,0.52,11581,8024,1,#N/A,#N/A
flows[59],12,13,0,0,12-13-0-0,C&D_Waste_pr_Concreting_Sand,4645.71,1313.5,2244.253,7230.482,10.89,7.7,14005,10454,1,4968,9936
flows[60],12,14,0,0,12-14-0-0,C&D_Waste_pr_Concreting_Gravel,3283.64,994.12,1437.97,5156.639,7.86,5.56,15287,10156,1,3354,6708
flows[61],12,15,0,0,12-15-0-0,C&D_Waste_pr_Concreting_Crushed_Rock,3456.57,998.56,1574.686,5328.733,8.36,5.92,13747,9135,1,3448,6896
flows[62],12,17,0,0,12-17-0-0,C&D_Waste_pr_Asphalt_Sand,189.38,55.1,84.07,292.322,0.44,0.31,15252,8274,1,185,370
flows[63],12,18,0,0,12-18-0-0,C&D_Waste_pr_Asphalt_Gravel,69.5,19.89,31.923,107.028,0.15,0.11,16452,9939,1,68,136
flows[64],12,19,0,0,12-19-0-0,C&D_Waste_pr_Asphalt_Crushed_Rock,1089.58,314.38,510.791,1696.858,2.38,1.69,16640,9749,1,1094,2188
flows[65],12,20,0,0,12-20-0-0,C&D_Waste_pr_Mortar_Sand,735.11,229.37,321.272,1173.163,1.86,1.32,14097,7459,1,1464,2928
flows[66],12,24,0,0,12-24-0-0,0,359.27,279.58,0.084,878.6,2.04,1.44,14014,9512,1,#N/A,#N/A
flows[67],12,29,0,0,12-29-0-0,C&D_Waste_pr_Sand_for_fill,570.8,238.65,138.306,1005.815,2.25,1.59,9982,9104,1,257,514
flows[68],12,30,0,0,12-30-0-0,C&D_Waste_pr_Gravel_for_fill,879.39,365.18,226.842,1558.776,5.31,4.01,5229,8464,1,385,770
flows[69],12,31,0,0,12-31-0-0,C&D_Waste_pr_Crushed_Rock_for_fill,2611.31,1377.84,345.227,5115.472,13.28,9.39,8982,7530,1,1241,2482
flows[70],12,32,0,0,12-32-0-0,C&D_Waste_pr_Aggregate_use,7593.68,713.96,6290.322,8975.027,4.42,3.12,26068,13806,1,7573,15146
flows[71],12,33,0,0,12-33-0-0,C&D_Waste_pr_Non-aggregate_use,2864.86,268.08,2357.477,3369.724,1.73,1.23,23896,15052,1,2865,5730
flows[72],12,40,0,0,12-40-0-0,C&D_Waste_pr_Scalpings_and_Fines_owp,372.53,152.14,103.57,656.706,1.65,1.16,7714,8213,1,1157,2314
flows[73],12,46,0,0,12-46-0-0,0,48.03,43.45,0.002,82.666,0.64,0.45,6138,10879,1,#N/A,#N/A
flows[74],13,25,0,0,13-25-0-0,0,7899.09,2354.71,3603.656,12515.217,25.31,17.9,8634,7873,1,#N/A,#N/A
flows[75],13,26,0,0,13-26-0-0,Concreting_Sand_Buildings_Sand,9104.57,2440.33,4201.935,13398.942,30.46,21.54,6445,6632,1,5146,10292
flows[76],13,38,0,0,13-38-0-0,Concreting_Sand_Manufacturing_Waste_lf,187.49,127.14,0.006,408.639,1.16,0.82,9156,6507,1,89,178
flows[77],13,39,0,0,13-39-0-0,Concreting_Sand_Manufacturing_Waste_owp,162.76,129.88,0.023,398.012,0.8,0.58,18558,10888,1,129,258
flows[78],14,25,0,0,14-25-0-0,0,3675.71,2189.69,1.014,7320.86,37.21,26.31,1638,548,1,#N/A,#N/A
flows[79],14,27,0,0,14-27-0-0,Concreting_Gravel_Buildings_Gravel,7886.03,2398.03,3448.551,12009.502,43.99,36.99,2557,552,1,7718,15436
flows[80],14,38,0,0,14-38-0-0,Concreting_Gravel_Manufacturing_Waste_lf,270.48,185.37,0.007,588.558,1.73,1.23,9060,7082,1,134,268
flows[81],14,39,0,0,14-39-0-0,Concreting_Gravel_Manufacturing_Waste_owp,181.79,154.35,0.041,465.546,1.17,0.83,3362,577,1,193,386
flows[82],15,25,0,0,15-25-0-0,0,3585.4,2295.94,0.47,7625.815,22.69,16.21,8897,6769,1,#N/A,#N/A
flows[83],15,28,0,0,15-28-0-0,Concreting_Crushed_Rock_Buildings_Crushed_Rock,15048.42,2710.92,9795.342,19897.497,27.39,19.37,10163,9596,1,24056,48112
flows[84],15,38,0,0,15-38-0-0,Concreting_Crushed_Rock_Manufacturing_Waste_lf,135.36,93.02,0.01,300.947,0.75,0.53,10104,5880,1,67,134
flows[85],15,39,0,0,15-39-0-0,Concreting_Crushed_Rock_Manufacturing_Waste_owp,217.02,201.15,0.013,574.039,1.57,1.11,11906,7728,1,602,1204
flows[86],16,25,0,0,16-25-0-0,0,3322.5,2238.86,0.007,7203.81,16.76,11.86,13003,7701,1,#N/A,#N/A
flows[87],16,28,0,0,16-28-0-0,Concreting_C&D_Buildings_Crushed_Rock,10288.57,6900.9,1.07,21659.092,118.7,83.94,3303,4318,1,15080,30160
flows[88],16,38,0,0,16-38-0-0,Concreting_C&D_Manufacturing_Waste_lf,84.62,58.17,0.002,188.99,0.41,0.29,12494,6416,1,42,84
flows[89],16,39,0,0,16-39-0-0,Concreting_C&D_Manufacturing_Waste_owp,210.61,187.22,0.106,560.99,1.2,0.91,16478,9833,1,377,754
flows[90],17,21,0,0,17-21-0-0,0,728.77,292.43,154.417,1267.325,2.64,1.87,10895,5155,1,#N/A,#N/A
flows[91],17,38,0,0,17-38-0-0,Asphalt_Sand_Manufacturing_Waste_lf,6.03,4.16,0.002,13.405,0.04,0.03,4912,3154,1,3,6
flows[92],17,39,0,0,17-39-0-0,Asphalt_Sand_Manufacturing_Waste_owp,47.75,34.52,0.013,110.157,0.22,0.16,16284,8631,1,27,54
flows[93],18,22,0,0,18-22-0-0,0,343.8,225.22,0.027,741.193,1.85,1.31,12129,8168,1,#N/A,#N/A
flows[94],18,38,0,0,18-38-0-0,Asphalt_Gravel_Manufacturing_Waste_lf,9.86,6.92,0,22.087,0.07,0.05,7918,6805,1,5,10
flows[95],18,39,0,0,18-39-0-0,Asphalt_Gravel_Manufacturing_Waste_owp,65.73,49.72,0.004,152.976,0.73,0.52,5321,7617,1,41,82
flows[96],19,23,0,0,19-23-0-0,0,4569.71,578.46,3493.051,5667.775,5.77,4.08,10024,11150,1,#N/A,#N/A
flows[97],19,38,0,0,19-38-0-0,Asphalt_Crushed_Rock_Manufacturing_Waste_lf,28.51,19.61,0.019,62.726,0.14,0.1,14483,8519,1,14,28
flows[98],19,39,0,0,19-39-0-0,Asphalt_Crushed_Rock_Manufacturing_Waste_owp,158.66,126.58,0.025,387.07,0.91,0.64,12170,7332,1,127,254
flows[99],20,26,0,0,20-26-0-0,Mortar_Sand_Buildings_Sand,1205.3,308.76,650.977,1781.208,3.4,2.41,9093,6345,1,169,338
flows[100],20,38,0,0,20-38-0-0,Mortar_Sand_Manufacturing_Waste_lf,42.84,27.57,0.003,91.045,0.2,0.14,13821,7672,1,18,36
flows[101],20,39,0,0,20-39-0-0,Mortar_Sand_Manufacturing_Waste_owp,714.96,267.43,193.155,1197.634,2.81,1.99,8611,5817,1,163,326
flows[102],21,35,0,0,21-35-0-0,Road_Sand_Demolition,2226.96,763.57,853.325,3689.957,9.3,6.58,6511,7361,1,1395,2790
flows[103],22,35,0,0,22-35-0-0,Road_Gravel_Demolition,3362.48,1135.15,1292.78,5568.553,12.73,9,7717,10005,1,2092,4184
flows[104],23,35,0,0,23-35-0-0,Road_Crushed_Rock_Demolition,11448.06,3669.64,4638.214,18352.453,48.86,34.55,5484,9158,1,6520,13040
flows[105],24,35,0,0,24-35-0-0,Railway_ballast_Demolition,249.42,153.23,0.114,511.306,1.62,1.14,7055,6224,1,105,210
flows[106],25,35,0,0,25-35-0-0,Other_inf_Demolition,26820.62,5643.44,16866.628,38077.8,71.14,50.31,6214,9749,1,16853,33706
flows[107],25,36,0,0,25-36-0-0,Other_inf_Deconstruction,1125.81,258.06,627.089,1593.963,2.42,1.71,10890,11041,1,2603,5206
flows[108],26,35,0,0,26-35-0-0,Buildings_Sand_Demolition,2441.98,774.48,993.574,3864.665,8.44,5.97,8092,9173,1,1321,2642
flows[109],26,36,0,0,26-36-0-0,Buildings_Sand_Deconstruction,89.15,32.55,31.603,147.156,0.35,0.25,7880,7963,1,202,404
flows[110],27,35,0,0,27-35-0-0,Buildings_Gravel_Demolition,3418.37,1126.2,1445.678,5664.139,12.71,8.99,7309,9902,1,1982,3964
