From,to,quantity,time,location,Flownumberfrom,Flownumberto,ParentProcessFlowfrom,ParentProcessFlowto,Subprocessnumbersfrom,Subprocessnumbersto
Cruhsed_Rock_pr,Aggregate_use,13475,2019,England,9,32,0,0,nan,nan
Secondary_Aggregates_pr,Aggregate_use,874,2019,England,10,32,0,0,nan,nan
C&D_Waste_pr,Aggregate_use,7573,2019,England,12,32,0,0,nan,nan

#Processing/Production,Non-aggregate_use,11019,2019,England,6,33,1,0,7-8-9-10-11-12,nan in data file
Sand_pr,Non-aggregate_use,1090,2019,England,7,33,0,0,nan,nan
Gravel_pr,Non-aggregate_use,1636,2019,England,8,33,0,0,nan,nan
Cruhsed_Rock_pr,Non-aggregate_use,5098,2019,England,9,33,0,0,nan,nan
Secondary_Aggregates_pr,Non-aggregate_use,331,2019,England,10,33,0,0,nan,nan
C&D_Waste_pr,Non-aggregate_use,2865,2019,England,12,33,0,0,nan,nan


Manufacturing,Buildings,52000,2019,England,8,17,1,1,13-14-15-16-17-18-19-20,26-27-28
Concreting_Sand,Buildings_Sand,5146,2019,England,13,26,0,0,nan,nan
Concreting_Gravel,Buildings_Gravel,7718,2019,England,14,27,0,0,nan,nan
Concreting_Crushed_Rock,Buildings_Crushed_Rock,24056,2019,England,15,28,0,0,nan,nan
Concreting_C&D,Buildings_Crushed_Rock,15080,2019,England,16,28,0,0,nan,nan
Mortar_Sand,Buildings_Sand,169,2019,England,20,26,0,0,nan,nan


Overburden_and_interburden_owp,Landscaping/Geotechnical_Uses,11726,2019,England,41,18,0,1,nan,29-30-31
Overburden_and_interburden_owp,Sand_for_fill,1634,2019,England,41,29,0,0,nan,nan
Overburden_and_interburden_owp,Gravel_for_fill,2451,2019,England,41,30,0,0,nan,nan
Overburden_and_interburden_owp,Crushed_Rock_for_fill,7640,2019,England,41,31,0,0,nan,nan


Scalpings_and_Fines_owp,Recycled_Processing/Production_Waste,7380,2019,England,40,11,0,0,nan,nan

#Deconstruction,Recycled_Deconstruction_Material,4050,2019,England,36,11,0,0,nan,nan in data file
Deconstruction,Recycled_Deconstruction_Material,4050,2019,England,36,11,0,0,nan,nan


Extraction,Sand_and_Gravel_for_fill,5165,2019,England,1,19,1,1,2-3-4-5-6,29-30
Sand_ex,Sand_for_fill,1902,2019,England,3,29,0,0,nan,nan
Gravel_ex,Gravel_for_fill,2854,2019,England,4,30,0,0,nan,nan
Sand_md,Sand_for_fill,164,2019,England,5,29,0,0,nan,nan
Gravel_md,Gravel_for_fill,245,2019,England,6,30,0,0,nan,nan
Crushed_Rock_ex,Crushed_Rock_for_fill,9990,2019,England,2,31,0,0,nan,nan


Processing/Production,Sand_and_Gravel_for_fill,2213,2019,England,6,19,1,1,7-8-9-10-11-12,29-30
Sand_pr,Sand_for_fill,629,2019,England,7,29,0,0,nan,nan
Gravel_pr,Gravel_for_fill,943,2019,England,8,30,0,0,nan,nan
C&D_Waste_pr,Sand_for_fill,257,2019,England,12,29,0,0,nan,nan
C&D_Waste_pr,Gravel_for_fill,385,2019,England,12,30,0,0,nan,nan
Processing/Production,Crushed_Rock_for_fill,4281,2019,England,6,31,1,0,7-8-9-10-11-12,nan
Crushed_Rock_pr,Crushed_Rock_for_fill,3040,2019,England,9,31,0,0,nan,nan
C&D_Waste_pr,Crushed_Rock_for_fill,1241,2019,England,12,31,0,0,nan,nan


Crushed_Rock_td,Aggregate_Use,887,2019,England,46,32,0,0,nan,nan


C&D_Waste,Lanfill,13858,2019,England,28,23,1,1,35-36,37-38
Demolition,C&D_Waste_lf,13858,2019,England,35,37,0,0,nan,nan


Extraction,Extraction_Waste,10383,2019,England,1,25,1,1,2-3-4-5-6,41
Sand_ex,Overburden_and_interburden_owp,1013,2019,England,3,41,0,0,nan,nan
Gravel_ex,Overburden_and_interburden_owp,1519,2019,England,4,41,0,0,nan,nan
Crushed_Rock_ex,Overburden_and_interburden_owp,6765,2019,England,2,41,0,0,nan,nan
Sand_md,Overburden_and_interburden_owp,434,2019,England,5,41,0,0,nan,nan
Gravel_md,Overburden_and_interburden_owp,651,2019,England,6,41,0,0,nan,nan


Processing/Production,Processing/Production_Waste,4450,2019,England,6,26,1,1,7-8-9-10-11-12,40
Sand_pr,Scalpings_and_Fines_owp,440,2019,England,7,40,0,0,nan,nan
Gravel_pr,Scalpings_and_Fines_owp,661,2019,England,8,40,0,0,nan,nan
Crushed_Rock_pr,Scalpings_and_Fines_owp,2059,2019,England,9,40,0,0,nan,nan
Secondary_Aggregates_pr,Scalpings_and_Fines_owp,134,2019,England,10,40,0,0,nan,nan
C&D_Waste_pr,Scalpings_and_Fines_owp,1157,2019,England,12,40,0,0,nan,nan


Manufacturing,Manfacturing_Waste,1842,2019,England,8,27,1,1,13-14-15-16-17-18-19-20,38-39
Concreting_Sand,Manufacturing_Waste_lf,89,2019,England,13,38,0,0,nan,nan
Concreting_Gravel,Manufacturing_Waste_lf,134,2019,England,14,38,0,0,nan,nan
Concreting_Crushed_Rock,Manufacturing_Waste_lf,67,2019,England,15,38,0,0,nan,nan
Concreting_C&D,Manufacturing_Waste_lf,42,2019,England,16,38,0,0,nan,nan
Asphalt_Sand,Manufacturing_Waste_lf,3,2019,England,17,38,0,0,nan,nan
Asphalt_Gravel,Manufacturing_Waste_lf,5,2019,England,18,38,0,0,nan,nan
Asphalt_Crushed_Rock,Manufacturing_Waste_lf,14,2019,England,19,38,0,0,nan,nan
Mortar_Sand,Manufacturing_Waste_lf,18,2019,England,20,38,0,0,nan,nan
Concreting_Sand,Manufacturing_Waste_owp,129,2019,England,13,39,0,0,nan,nan
Concreting_Gravel,Manufacturing_Waste_owp,193,2019,England,14,39,0,0,nan,nan
Concreting_Crushed_Rock,Manufacturing_Waste_owp,602,2019,England,15,39,0,0,nan,nan
